id,date_ouverture,date_resolution,type_incident,severite,statut,temps_resolution_heures,systeme_affecte,est_resolu,semaine_ouverture,sla_cible_jours,jours_ouverture,sla_respecte,sla_actuellement_depasse
INC-0073,2026-07-21 05:51:00,2026-07-25 01:57:00,phishing,élevée,fermé,92.1,Poste de travail (BL-3226),True,2026-07-20,3,3.84,False,False
INC-0008,2026-07-22 11:55:00,2026-07-26 00:56:00,accès non autorisé,élevée,fermé,85.0,Application RH (UD-5940),True,2026-07-20,3,3.54,False,False
INC-0018,2026-07-24 12:08:00,2026-07-24 17:07:00,phishing,faible,fermé,5.0,Poste de travail (QI-7672),True,2026-07-20,10,0.21,True,False
INC-0091,2026-07-26 11:56:00,2026-07-26 18:11:00,déni de service,faible,fermé,6.2,Site web public (FW-4895),True,2026-07-20,10,0.26,True,False
INC-0151,2026-07-28 15:07:00,2026-07-29 02:02:00,accès non autorisé,élevée,fermé,10.9,Active Directory (CC-9386),True,2026-07-27,3,0.45,True,False
INC-0177,2026-07-28 16:24:00,2026-07-29 16:03:00,autre,moyenne,fermé,23.6,Application interne (AE-7484),True,2026-07-27,5,0.99,True,False
INC-0026,2026-07-29 22:40:00,2026-07-30 00:46:00,autre,faible,fermé,2.1,Application interne (GO-4828),True,2026-07-27,10,0.09,True,False
INC-0110,2026-07-29 22:56:00,2026-08-05 23:52:00,phishing,élevée,fermé,168.9,Poste de travail (UK-0656),True,2026-07-27,3,7.04,False,False
INC-0081,2026-07-31 01:55:00,2026-08-02 04:16:00,phishing,moyenne,fermé,50.4,Poste de travail (HY-5698),True,2026-07-27,5,2.1,True,False
INC-0099,2026-08-06 23:01:00,2026-08-07 09:22:00,accès non autorisé,faible,fermé,10.4,Application RH (BJ-5798),True,2026-08-03,10,0.43,True,False
INC-0058,2026-08-11 05:28:00,2026-08-11 21:53:00,phishing,moyenne,fermé,16.4,Portail webmail (AD-4751),True,2026-08-10,5,0.68,True,False
INC-0087,2026-08-12 04:46:00,2026-08-12 21:07:00,phishing,moyenne,fermé,16.4,Poste de travail (TZ-6299),True,2026-08-10,5,0.68,True,False
INC-0098,2026-08-12 05:52:00,2026-08-12 19:17:00,déni de service,faible,fermé,13.4,Infrastructure réseau (JM-7278),True,2026-08-10,10,0.56,True,False
INC-0048,2026-08-13 09:35:00,2026-08-13 13:19:00,malware,faible,fermé,3.7,Serveur de fichiers (YY-6064),True,2026-08-10,10,0.16,True,False
INC-0011,2026-08-15 17:33:00,2026-08-15 20:20:00,accès non autorisé,faible,fermé,2.8,Application RH (OG-0341),True,2026-08-10,10,0.12,True,False
INC-0102,2026-08-16 12:44:00,2026-08-17 00:50:00,phishing,moyenne,fermé,12.1,Portail webmail (PR-4714),True,2026-08-10,5,0.5,True,False
INC-0017,2026-08-16 14:47:00,2026-08-16 23:42:00,phishing,moyenne,fermé,8.9,Portail webmail (NP-1395),True,2026-08-10,5,0.37,True,False
INC-0070,2026-08-17 23:45:00,2026-08-18 05:37:00,phishing,moyenne,fermé,5.9,Messagerie (TX-2620),True,2026-08-17,5,0.24,True,False
INC-0170,2026-08-18 01:59:00,2026-08-31 17:38:00,déni de service,critique,résolu,327.6,Serveur web (QI-1680),True,2026-08-17,1,13.65,False,False
INC-0044,2026-08-18 15:04:00,2026-08-18 16:24:00,malware,faible,fermé,1.3,Serveur de fichiers (DP-2624),True,2026-08-17,10,0.06,True,False
INC-0030,2026-08-21 15:59:00,2026-08-21 21:49:00,phishing,moyenne,fermé,5.8,Messagerie (FF-3039),True,2026-08-17,5,0.24,True,False
INC-0021,2026-08-23 22:39:00,2026-08-24 08:34:00,phishing,élevée,fermé,9.9,Portail webmail (HJ-8710),True,2026-08-17,3,0.41,True,False
INC-0089,2026-08-26 08:23:00,2026-08-26 14:37:00,malware,faible,fermé,6.2,Poste de travail (CC-9957),True,2026-08-24,10,0.26,True,False
INC-0039,2026-08-26 13:31:00,2026-08-26 20:03:00,phishing,faible,fermé,6.5,Messagerie (PY-2997),True,2026-08-24,10,0.27,True,False
INC-0001,2026-08-27 04:36:00,2026-08-27 23:42:00,accès non autorisé,élevée,résolu,19.1,Base de données clients (OI-1043),True,2026-08-24,3,0.8,True,False
INC-0045,2026-08-30 06:59:00,,accès non autorisé,élevée,en cours,,Base de données clients (DP-1781),False,2026-08-24,3,1.71,,False
INC-0101,2026-08-30 12:29:00,,accès non autorisé,élevée,en cours,,Base de données clients (OP-3487),False,2026-08-24,3,1.48,,False
INC-0046,2026-08-30 20:19:00,,déni de service,élevée,en cours,,Infrastructure réseau (KA-8013),False,2026-08-24,3,1.15,,False
